meshes/actors/atronachfrost/character assets/atronachfrost.nif	Parallax Inner Layer Thickness x1, Parallax Refraction Scale x1, Parallax Inner Layer Texture Scale x1
meshes/actors/character/character assets/1stpersonfemalebody_0.nif	Vertex Weights x1487, Triangles x805, Triangles Copy x805, Translation x27, Rotation x26, Index x22
meshes/actors/character/character assets/1stpersonmalehandsargonian_1.nif	Vertex Weights x2874, Vertex Desc x3, Translation x1, Data Size x1, Vertex Size x1, Skin Tint Color x1
meshes/actors/character/character assets/beards/humanbeardlong02.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardlong03_1bit.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardlong13_1bit.nif	Num Bones x1, Bones x1, Textures x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardlong17.nif	Num Bones x1, Bones x1, Textures x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardmedium01_1bit.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardmedium08.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardshort03.nif	Triangles x232, Triangles Copy x232, Index x152, Weight x54, Vertex Weights x28, Num Bones x2
meshes/actors/character/character assets/beards/humanbeardshort13.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardshort24.nif	Num Bones x1, Bones x1, Textures x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardshort29.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/beards/humanbeardshort30.nif	Triangles x155, Triangles Copy x155, Index x113, Weight x48, Vertex Weights x28, Num Bones x2
meshes/actors/character/character assets/beards/humanbeardshort32.nif	Triangles x146, Triangles Copy x146, Index x108, Weight x51, Vertex Weights x28, Num Bones x2
meshes/actors/character/character assets/childfeet.nif	Triangles x2260, Triangles Copy x2260, Index x1314, Weight x435, Vertex Weights x119, Num Vertices x7
meshes/actors/character/character assets/decapitatedneckfemalekhajiit_0.nif	Vertex Desc x3, Translation x2, Num Bones x1, Bones x1, Data Size x1, Vertex Size x1
meshes/actors/character/character assets/decapitatedneck_1.nif	Vertex Desc x3, Translation x2, Num Bones x2, Bones x2, Data Size x1, Vertex Size x1
meshes/actors/character/character assets/eyesfemale.nif	Num Bones x1, Bones x1, Left Eye Reflection Center x1, Right Eye Reflection Center x1
meshes/actors/character/character assets/faceparts/eyefemaleright.nif	Num Bones x1, Bones x1, Right Eye Reflection Center x1
meshes/actors/character/character assets/faceparts/femalemaskleftside.nif	Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/faceparts/khajiitfemalescar02.nif	Translation x1, Num Bones x1, Bones x1
meshes/actors/character/character assets/faceparts/maleargonianscar.nif	Num Bones x1, Bones x1
meshes/actors/character/character assets/faceparts/maleargonianscar02.nif	Num Bones x1, Bones x1
meshes/actors/character/character assets/faceparts/orcbrows_04.nif	Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/femalebodyastrid_1.nif	Vertex Weights x3502, Triangles x2664, Triangles Copy x2664, Index x188, Weight x186, Translation x11
meshes/actors/character/character assets/femalebody_0.nif	Vertex Weights x3069, Triangles x2392, Triangles Copy x2392, Index x165, Weight x156, Translation x12
meshes/actors/character/character assets/femalehandsargonian_1.nif	Weight x48, Num Vertices x10, Vertex Weights x10, Vertex Desc x3, Translation x1, Data Size x1
meshes/actors/character/character assets/femaleheadkhajiit.nif	Triangles x2185, Triangles Copy x2185, Index x1555, Weight x872, Vertex Weights x308, Vertex Desc x5
meshes/actors/character/character assets/hair/argonianfemalehorns01.nif	Translation x1, Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/hair/argonianfemalehorns04.nif	Translation x1, Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/hair/argonianfemalehorns06.nif	Translation x1, Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/hair/argonianmalehorns07.nif	Translation x1, Num Bones x1, Bones x1, Skin Tint Color x1
meshes/actors/character/character assets/hair/elf/female/hair03.nif	Triangles x452, Triangles Copy x452, Index x198, Weight x115, Hair Tint Color x1
meshes/actors/character/character assets/hair/elf/female/hairline01.nif	Triangles x381, Triangles Copy x381, Index x203, Vertex Weights x187, Weight x85, Num Bones x1
meshes/actors/character/character assets/hair/elf/female/hairline05.nif	Triangles x350, Triangles Copy x350, Index x183, Vertex Weights x163, Weight x80, Num Bones x1
meshes/actors/character/character assets/hair/elf/female/hairline10.nif	Triangles x335, Triangles Copy x335, Vertex Weights x16, Rotation x4, Translation x4, Num Vertices x2
meshes/actors/character/character assets/hair/elf/male/hair03.nif	Index x413, Weight x394, Triangles x390, Triangles Copy x390, Vertex Weights x34, Hair Tint Color x1
meshes/actors/character/character assets/hair/elf/male/hair09.nif	Index x490, Weight x451, Triangles x356, Triangles Copy x356, Hair Tint Color x1
meshes/actors/character/character assets/hair/elf/male/hairline01.nif	Triangles x262, Triangles Copy x262, Index x202, Weight x88, Num Bones x1, Bones x1
meshes/actors/character/character assets/hair/female/hair08.nif	Triangles x360, Triangles Copy x360, Index x176, Vertex Weights x132, Weight x68, Num Bones x2
meshes/actors/character/character assets/hair/female/hair12.nif	Triangles x756, Triangles Copy x756, Index x649, Weight x335, Num Bones x1, Bones x1
meshes/actors/character/character assets/hair/female/hair13.nif	Triangles x319, Triangles Copy x319, Vertex Weights x214, Num Vertices x6, Data Size x1, Vertex Data x1
meshes/actors/character/character assets/hair/female/hair21.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/female/hairline09.nif	Triangles x351, Triangles Copy x351, Vertex Weights x189, Index x182, Weight x83, Num Bones x1
meshes/actors/character/character assets/hair/female/hairline11.nif	Triangles x320, Triangles Copy x320, Index x194, Vertex Weights x104, Weight x77, Num Bones x2
meshes/actors/character/character assets/hair/female/hairline15.nif	Triangles x349, Triangles Copy x349, Vertex Weights x66, Rotation x4, Translation x4, Num Vertices x2
meshes/actors/character/character assets/hair/femalechildnordhair02.nif	Triangles x590, Triangles Copy x590, Index x371, Weight x235, Vertex Weights x16, Num Bones x3
meshes/actors/character/character assets/hair/femaledarkelfhair05.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaledarkelfhair07.nif	Triangles x303, Triangles Copy x303, Index x174, Weight x46, Vertex Weights x36, Num Bones x2
meshes/actors/character/character assets/hair/femaledremorahair02.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaledremorahair02_horns.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femalehumanoldhair01.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaleorchair02.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaleorchair05.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaleorchair11_hairline.nif	Textures x2, Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaleorchair15.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/femaleorchair17.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/female/hair02.nif	Triangles x136, Triangles Copy x136, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/female/hair03.nif	Triangles x120, Triangles Copy x120, Num Bones x2, Bones x2, Rotation x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/female/hair06.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/eartuftsbase.nif	Translation x1, Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/khajiithair01.nif	Triangles x136, Triangles Copy x136, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/khajiithair04.nif	Triangles x160, Triangles Copy x160, Rotation x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/khajiithair06.nif	Triangles x725, Triangles Copy x725, Index x647, Weight x490, Vertex Weights x14, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/khajiithairline05.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiit/male/khajiithairline07.nif	Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiitfemalehair02.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiitfemalehairline01.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/khajiitmalehair05.nif	Triangles x569, Triangles Copy x569, Index x536, Weight x415, Vertex Weights x229, Num Bones x1
meshes/actors/character/character assets/hair/khajiitmalehairline01.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/male/hair19.nif	Index x482, Weight x440, Triangles x356, Triangles Copy x356, Hair Tint Color x1
meshes/actors/character/character assets/hair/male/hairline05.nif	Triangles x371, Triangles Copy x371, Vertex Weights x118, Rotation x4, Translation x4, Num Vertices x2
meshes/actors/character/character assets/hair/male/hairline09.nif	Triangles x310, Triangles Copy x310, Index x224, Weight x90, Num Bones x2, Bones x2
meshes/actors/character/character assets/hair/male/hairline10.nif	Triangles x310, Triangles Copy x310, Index x224, Weight x90, Num Bones x2, Bones x2
meshes/actors/character/character assets/hair/male/hairline17.nif	Triangles x88, Triangles Copy x88, Index x84, Weight x46, Num Bones x2, Bones x2
meshes/actors/character/character assets/hair/male/hairline18.nif	Triangles x364, Triangles Copy x364, Index x250, Weight x127, Num Bones x1, Bones x1
meshes/actors/character/character assets/hair/malechildimperialhair01.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maledarkelfhair02_hairline.nif	Triangles x153, Triangles Copy x153, Index x103, Num Bones x2, Bones x2, Hair Tint Color x1
meshes/actors/character/character assets/hair/maledarkelfhair05.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maledarkelfhair08.nif	Triangles x673, Triangles Copy x673, Index x625, Weight x284, Vertex Weights x30, Num Bones x2
meshes/actors/character/character assets/hair/maledarkelfhair08_hairline.nif	Triangles x281, Triangles Copy x281, Rotation x4, Translation x4, Num Vertices x2, Vertex Weights x2
meshes/actors/character/character assets/hair/malehumanoldhair04_hairline.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/malehumanoldhair05.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleorchair13.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleorchair15_shaved.nif	Triangles x291, Triangles Copy x291, Index x172, Weight x46, Vertex Weights x28, Num Bones x2
meshes/actors/character/character assets/hair/maleredguardhair03_hairline.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair04_hairline.nif	Vertex Weights x6, Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair06b.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair07a.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair07b.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/malehands_1.nif	Weight x8, Vertex Desc x3, Num Vertices x2, Vertex Weights x2, Translation x1, Data Size x1
meshes/actors/character/character assets/maletailargonian.nif	Vertex Desc x3, Data Size x1, Vertex Size x1, Skin Tint Color x1
meshes/actors/character/character assets/mouth/mouthhuman.nif	Rotation x1, Num Bones x1, Bones x1
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000282d.nif	Triangles x2486, Triangles Copy x2486, Index x558, Weight x309, Vertex Weights x188, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00003361.nif	Triangles x2347, Triangles Copy x2347, Index x1319, Weight x361, Vertex Weights x170, Num Bones x12
