archive	path	shape	source	rebuilt	lost
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testquartergate.nif	testquartergate:9	9103	6890	2213
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_room.nif	Plane14:21	8736	6560	2176
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whcandlehearthinn.nif	WHcandlehearthinn:9	27713	25769	1944
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/snowelftemple01.nif	Object34:1	17476	15937	1539
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrinthousedrygoods01.nif	Boards06:38	9605	8072	1533
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge01.nif	ShipwreckLarge01:5 - Object02:5 - ShipLargeInside02:5 - Stairs01:5 - Details01:5 - Shack01:5 - L1_DetailsShields01:5	31494	30014	1480
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shipwrecklarge02.nif	ShipwreckLarge02:5 - Stairs02:5 - ShipLargeInside03:5 - ShipCaptainsBroken01:5 - Details02:5 - L1_DetailsShields03:5 - L1_DetailsShields02:5	34612	33142	1470
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_room.nif	Floor	2116	663	1453
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndflwall01.nif	BYOHBYOHWRhub2ndFLWall01:38	9352	7939	1413
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindpalace.nif	tempwindpalace:38	13888	12588	1300
Skyrim - Meshes0.bsa	meshes/dlc01/effects/dlc1readelderscrollcam.nif	Mountains	2062	816	1246
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion03.nif	windhelmtempvmansion03:11	14629	13401	1228
Skyrim - Meshes0.bsa	meshes/furniture/dragonfurniture/imptowerwallcollapse/imptowerwallcollapsefrost.nif	EditorMarker	8704	7517	1187
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc1waygate.nif	SERuinsHallBg1Way02:1	6962	5780	1182
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/chambers/powerwordkrah.nif	emitGeo02	2276	1191	1085
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndfl01.nif	BYOHBYOHWRhub2ndFl01:38	24613	23554	1059
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_room.nif	Plane14:26	2228	1205	1023
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion02.nif	windhelmtempvmansion02:8	12817	11795	1022
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whhjerim1.nif	WHHjerim1:8	12817	11795	1022
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrinthousedrygoods01.nif	Boards03:38	6124	5142	982
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion1.nif	L2_windhelmtempvmansion1:11	8474	7504	970
Skyrim - Meshes0.bsa	meshes/architecture/riften/rttempleplaza01.nif	RTTemplePlaza01:17	1648	683	965
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/dawnguard/dextcorner02.nif	DExtCorner02:1	32716	31752	964
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrdrawbridge01.nif	WRWallGateDrawBridge01:8	5099	4141	958
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstempledeck01.nif	Colonnade01:6	2114	1220	894
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstempledeck01.nif	Colonnade01:1	2740	1847	893
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion03.nif	windhelmtempvmansion03:0	15179	14295	884
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/dlc1house/dlc1byohwrhub1stflwall01.nif	DLC1BYOHWRhub1stFLWall01:38	6013	5146	867
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion04.nif	windhelmtempvmansion04:11	10321	9460	861
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargekatariah02.nif	ShipLargeKatariah02:15 - BackMast01:15 - FrontMast:15 - Dragon:15 - BackMast:15 - MidMast:15 - L2_Stairs:15 - L1_Details:15	18567	17720	847
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion02.nif	windhelmtempvmansion02:11	11192	10347	845
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclancruelsea.nif	WHclancruelsea:11 - L2_details:11	8843	7998	845
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclancruelseadestroyed.nif	WHclancruelseaDestroyed:11 - L2_details:11	8894	8049	845
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/exterior/norlabyrinthianmaze01.nif	NorLabyrinthianMaze01:3	1156	322	834
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrporchlext01.nif	BYOHBYOHWRporchLEXT01:38	8961	8133	828
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrtempleofk01.nif	WRTempleOfK01:7	11060	10237	823
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrporchrext01.nif	BYOHBYOHWRporchREXT01:38	8957	8135	822
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/exterior/norlabyrinthianmaze02.nif	NorLabyrinthianMaze02:3	1149	331	818
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/observatory/dweobservatorychamber01.nif	DweObservatoryChamber01:34	6140	5329	811
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstemplefacade01.nif	SERuinsTempleFacade01:1	4798	3988	810
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/astrolabe/dweastrolabechamber01.nif	Deck:34	6140	5332	808
